0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,47,31,28,25,26,34,36,46,43,49,52,55,64,70,71,80,79,83
3,70,51,42,40,41,43,49,52,52,57,60,65,74,77,80,81,84,87
4,76,55,54,53,50,52,53,55,60,58,58,66,78,79,81,83,83,86
5,77,64,55,46,49,51,52,55,63,60,64,73,76,76,82,85,86,88
6,75,58,52,49,49,54,56,54,58,60,61,71,71,76,84,82,86,88
7,67,59,50,41,50,52,53,54,53,58,64,66,72,80,79,83,87,89
8,62,47,46,41,47,46,49,51,53,56,63,64,69,78,82,83,86,88
9,61,51,42,42,44,46,47,50,55,55,57,59,67,72,75,82,87,85
10,56,44,41,41,49,42,46,47,52,52,56,59,65,68,77,78,84,88
11,55,46,40,40,42,43,43,43,47,49,53,54,66,71,77,79,81,86
12,51,44,35,35,37,40,40,44,39,45,51,51,62,65,75,76,79,87
13,44,35,30,31,31,34,37,34,38,41,46,48,59,67,67,69,79,85
14,35,33,27,22,28,29,32,31,34,37,37,45,51,55,66,68,77,79
15,32,26,19,22,20,25,23,28,26,32,31,39,44,48,61,68,73,74
16,29,17,21,17,17,20,22,19,24,26,24,32,37,45,55,55,62,69
17,19,21,17,16,17,15,16,22,19,22,24,26,32,33,39,54,57,66
18,18,15,16,15,12,15,13,15,18,19,19,22,26,31,34,38,47,57
19,18,16,13,13,12,14,12,12,14,14,17,17,22,22,26,33,41,52
